url_length,domain_length,subdomain_count,has_https,has_suspicious_tokens,special_char_count,digit_count,path_length,label
33,24,0,1,0,0,0,1,phishing
27,10,0,1,0,0,7,9,phishing
72,34,1,1,0,2,4,13,phishing
24,16,1,0,0,0,0,1,phishing
46,37,1,1,0,3,0,1,phishing
42,33,1,1,0,3,0,1,phishing
33,25,2,0,0,0,2,1,phishing
38,16,1,1,0,0,6,12,phishing
89,43,1,1,0,3,29,13,phishing
29,21,1,0,0,1,5,1,phishing
32,24,1,0,0,2,3,1,phishing
31,23,1,0,0,2,3,1,phishing
39,30,1,1,0,3,0,1,phishing
49,16,1,1,0,0,7,25,phishing
79,15,0,1,0,6,13,41,phishing
39,20,1,0,0,0,9,12,phishing
18,4,0,0,0,0,0,7,phishing
29,21,1,0,0,0,0,1,phishing
33,25,1,0,1,1,0,1,phishing
106,21,1,0,0,1,6,78,phishing
27,18,0,1,0,0,0,1,phishing
47,5,0,1,0,4,8,34,phishing
43,35,1,0,0,2,0,1,phishing
23,15,0,0,0,0,0,1,phishing
46,14,1,1,0,0,9,24,phishing
37,28,1,1,0,2,0,1,phishing
63,13,1,0,0,1,9,43,phishing
95,25,1,0,0,6,24,26,phishing
95,25,1,0,0,6,24,63,phishing
29,12,0,1,0,1,0,9,phishing
28,15,0,0,0,1,0,6,phishing
51,17,2,1,0,0,10,26,phishing
48,17,2,0,0,0,10,24,phishing
116,13,1,1,0,4,44,40,phishing
108,38,1,0,0,6,24,26,phishing
108,38,1,0,0,6,24,63,phishing
47,26,1,1,0,1,1,13,phishing
33,25,0,0,0,1,0,1,phishing
35,26,1,1,0,1,0,1,phishing
62,40,2,1,0,0,2,14,phishing
90,40,2,1,1,0,2,22,phishing
20,11,1,1,0,0,0,1,phishing
49,16,1,1,0,0,0,25,phishing
60,16,1,1,0,0,0,36,phishing
58,16,1,1,0,0,0,34,phishing
65,23,2,1,1,1,0,34,phishing
37,17,0,1,0,1,2,12,phishing
64,14,0,1,0,0,24,42,phishing
45,13,1,1,0,0,10,24,phishing
60,20,1,1,0,0,4,32,phishing
30,21,1,1,0,0,2,1,phishing
21,13,1,0,0,0,0,1,phishing
17,8,0,1,0,0,2,1,phishing
102,32,1,0,1,6,24,63,phishing
33,24,1,1,0,0,0,1,phishing
40,31,1,1,0,3,0,1,phishing
45,36,1,1,1,2,0,1,phishing
45,36,1,1,0,2,0,1,phishing
102,32,1,0,1,6,24,26,phishing
99,32,1,0,1,4,29,60,phishing
86,16,1,0,0,6,24,26,phishing
100,30,1,0,1,6,24,26,phishing
100,30,1,0,1,6,24,63,phishing
86,16,1,0,0,6,24,63,phishing
99,29,1,0,0,7,24,26,phishing
99,29,1,0,0,7,24,63,phishing
114,47,2,0,1,4,29,60,phishing
95,25,1,0,0,6,24,26,phishing
95,25,1,0,0,6,24,63,phishing
50,17,2,1,0,0,10,25,phishing
117,47,2,0,0,6,24,26,phishing
117,47,2,0,0,6,24,63,phishing
26,18,1,0,0,0,2,1,phishing
93,23,1,0,1,6,24,26,phishing
90,23,1,0,1,4,29,60,phishing
93,23,1,0,1,6,24,63,phishing
76,15,0,1,0,0,24,44,phishing
39,15,1,1,0,1,0,16,phishing
41,15,1,1,0,1,0,18,phishing
89,19,0,0,0,6,24,26,phishing
93,19,0,0,1,4,30,60,phishing
21,13,0,1,0,0,0,0,legitimate
26,18,1,1,0,0,0,0,legitimate
33,25,2,1,0,0,0,0,legitimate
16,8,0,1,0,0,1,0,legitimate
21,13,1,1,0,0,1,0,legitimate
22,14,1,1,0,0,0,0,legitimate
18,10,0,1,0,0,0,0,legitimate
25,17,0,1,1,0,0,0,legitimate
31,23,1,1,1,0,0,0,legitimate
16,8,0,1,0,0,0,0,legitimate
39,31,2,1,0,1,0,0,legitimate
20,12,0,1,0,0,0,0,legitimate
27,19,0,1,0,0,0,0,legitimate
33,25,1,1,1,0,0,0,legitimate
17,9,0,1,0,0,0,0,legitimate
